"key","value"
"cdial_entries","15417"
"drav_in","224"
"drav_out","9"
"drav_mention","283"
"munda_in","55"
"munda_out","1"
"munda_mention","99"
"naive_munda","22"
"naive_munda_upanisad","10"
"drav_in_rvtag","12"
"munda_in_rvtag","5"
"drav_in_hedged","19"
"munda_in_hedged","8"
"naive_munda_precision_pct","54.5"
"naive_munda_recall_pct","12.1"
"rv_tokens_total","164758"
"rv_lemmas_total","10031"
"rv_corpus_tokens_stratum_none","3"
"rv_corpus_tokens_stratum_A","32636"
"rv_corpus_tokens_stratum_C","27954"
"rv_corpus_tokens_stratum_N","35950"
"rv_corpus_tokens_stratum_P","20448"
"rv_corpus_tokens_stratum_S","32940"
"rv_corpus_tokens_stratum_a","1294"
"rv_corpus_tokens_stratum_c","1660"
"rv_corpus_tokens_stratum_n","4932"
"rv_corpus_tokens_stratum_p","2513"
"rv_corpus_tokens_stratum_s","4428"
