"cand_id","cdial_id","headword","donor_family","direction","turner_hedged","turner_rv_tag_in_entry","rv_simplex_lemma","rv_simplex_tokens","rv_derivative_lemmas","rv_compound_lemmas","rv_books_simplex","rv_strata_simplex","bracket","source_id","retrieval_date"
"DE-CAND-001","16","akkā","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. Burrow, BSOAS 12, 365: Tam. akkai 'elder sister'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-002","49","agaru","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. Mayrhofer EWA i 17 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-003","50","agásti","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. Burrow BSOAS 12, 365; Agásti- m. 'nom. prop.' perh. from this, Mayrhofer EWA I 17","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-004","52","agāra","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. ← Drav., Mayrhofer EWA i 17 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-005","117","aṅgada","munda","into-Indo-Aryan","no","no","","0","","","","","← Muṇḍa Kuiper PMWS 124","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-006","179","*aṭṭ","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. *aṭṭha-², *aḍ-, *aḍḍ-: prob. ← Drav. see *aḍ-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-007","187","*aḍ","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. *aḍḍ-, *aṭṭ-², poss. *aṭṭha-²; — ← Drav. cf. Tam. aṭai 'to be obstructed', Kan. aḍ{ḍ}a 'obstructing, transverse', Tu. aṭaka, aḍaka 'obstacle', Kui aḍa 'screen', Brah. aṛ 'obstruction': T. Burrow TPS 1945, 79.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-008","188","*aḍḍ","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav., see *aḍ-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-009","189","*aḍḍa","dravidian","into-Indo-Aryan","yes","no","","0","","","","","Same as prec.? — ← Drav., see *aḍ-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-010","191","*aḍḍi","dravidian","into-Indo-Aryan","no","no","","0","","","","","J. Bloch BSOS v 738 ← Drav., cf. Tam. Kan. aḍi, Tel. aḍugu 'foot, footstep'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-011","222","attā","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. Tam. attai 'aunt, mother-in-law' T. Burrow BSOAS xii 366. Cf. *atta-²","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-012","292","anala","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. Mayrhofer EWA i 33","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-013","491","apūpá","dravidian","into-Indo-Aryan","yes","yes","apūpá-","2","apūpávant-","","3:1 10:1","C:1 p:1","J. Charpentier, Le Monde Oriental xxvi 112 ← Drav. Tam. appam, &amp;c. cf. also Muṇḍa in Savara p̣upu 'cake, bread, pudding' ← Sk ? Poss. further conn. in pūra-², pauli-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-014","491","apūpá","munda","into-Indo-Aryan","yes","yes","apūpá-","2","apūpávant-","","3:1 10:1","C:1 p:1","J. Charpentier, Le Monde Oriental xxvi 112 ← Drav. Tam. appam, &amp;c. cf. also Muṇḍa in Savara p̣upu 'cake, bread, pudding' ← Sk ? Poss. further conn. in pūra-², pauli-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-015","607","arā́ḍa-,","munda","into-Indo-Aryan","no","no","","0","","","","","Kuiper PMWS 13 &lt; *alāḍa- ← Mu.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-016","1695","uḍupa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. hōḍa- m. lex. prob. ← Drav., Tam. ōṭam","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-017","1699","uṇḍuka","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. uṇḍēraka- m. 'ball of flour, loaf, roll', uṇḍērakasraj- f. 'balls of meal on a string' Yājñ.: belongs to iṇḍvà- and the group of words collected under vīṭā- and is prob. ← Drav. cf. Tam. uṇṭai 'ball' Mal. uṇḍa, Kan. Tu. uṇḍe","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-018","2360","ulū́khala","dravidian","into-Indo-Aryan","no","yes","ulūkhala-","1","ulūkhalaka-; ulū́khalasuta-","","1:1","C:1","← Drav. EWA 111 with lit. Like músala-, pop. derivative with -ala- J. Bloch BSOS v 742","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-019","2512","ēḍa","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. EWA i 126 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-020","2522","ēlā","dravidian","into-Indo-Aryan","yes","no","","0","","","","","← Drav. EWA i 561 with lit. — Cf. ēḍaka-² 'a medicinal plant' Suśr.?","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-021","2547","*ōḍḍh","dravidian","into-Indo-Aryan","yes","no","","0","","","","","← Drav. cf. Tam. uṭu-, Kan. uḍu- 'to dress', Tel. uḍupu 'dress' (though ac. to T. Burrow BSOAS xii 134 &lt; *cuṭu). The forms of all languages (except Tir., see below) must or may contain -ḍḍh-: conn. therefore with váhati 'wears clothes' Mr̥cch. (vṓḍhum LM 302) is unlikely.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-022","2595","kaṅká","dravidian","into-Indo-Aryan","no","no","","0","káṅkata-","prakaṅkatá-; satīnákaṅkata-","","","← Drav. T. Burrow TPS 1945, 87; onomat. Mayrhofer EWA i 137. Drav. influence certain in o of M. and Si.: Tam. Kan. Mal. kokku 'crane', Tu. korṅgu, Tel. koṅga, Kuvi koṅgi, Kui kohko","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-023","2621","kacchū́","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. like kharju-¹, khasa-¹ and poss. kaṇḍū- ← Drav. EWA i 139, 147 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-024","2622","kajjala","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. or Mu. EWA 139 with lit. Former might account for N. g-. J. Bloch BSOS v 738 puts it with kāla-¹ as ← Drav.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-025","2622","kajjala","munda","into-Indo-Aryan","no","no","","0","","","","","← Drav. or Mu. EWA 139 with lit. Former might account for N. g-. J. Bloch BSOS v 738 puts it with kāla-¹ as ← Drav.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-026","2626","*kañcu","munda","into-Indo-Aryan","no","no","","0","","","","","Poss. ← Mu. Kuiper AO xvi 307, EWA i 140","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-027","2639","kaṭi","dravidian","into-Indo-Aryan","no","no","","0","","","","","IE. *{s}qI̊-to- WP ii 597: rather ← Drav., cf. Tam. kaḍam 'mountain side, elephant's temple', Kan. kaḍe 'side, end', Tel. kaḍa.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
