"parpola_class","description","tokens_in_corpus","stored_initial","stored_final","parpola_v_numbers","wells_w_numbers","mahadevan_m_numbers"
"P000","Represents a section of significant damage or lost material","19","11","6","V599","",""
"P001","Person carrying two burdens, ","4","4","0","V144 V143 V385 V539","W151","M012"
"P002","Person carrying two burdens, small vertical stroke between legs","0","0","0","V586","","M013"
"P003","Person carrying two burdens, triangle or diamond for a head","2","0","0","V244 V320 V341 V465","W159 W160 W161","M011 M014"
"P004","Person carrying two burdens, jar handles for a head","6","6","0","V145 V538","W153 W154 W155 W156 W158","M015"
"P005","Person carrying two burdens, jar handles for a head. Pitchfork off shoulder","0","0","0","V750","",""
"P006","Two people, each carrying two burdens, carrying a tall hatched triangle between them","0","0","0","V370","W123","M016"
"P007","Person with flag for a head","1","0","1","V146 V374","W105 W107","M004"
"P008","Person with two flags for a head","0","0","0","V147","W106","M005"
"P009","Person with three heads","5","0","0","V134 V559","W100","M008"
"P010","Person with three heads, bracketed by right parentheses","1","0","0","V505 V071 V252 V685","W101 W103","M009"
"P011","Person with round breasts and one raised arm","10","0","5","V097 V534","W140","M017"
"P012","Person with an extra raised arm","1","0","0","V268 V743","W098","M007"
"P013","Person with two arms and two legs, ","9","9","0","V133 V535","W090","M001"
"P014","Person with two arms and two legs, small vertical stroke between legs","1","0","0","V394","W093","M003"
"P015","Person with two arms and two legs, bracketed by tall vertical lines","0","0","0","V518 V150","W097","M002"
"P016","Two simple persons standing side by side","0","0","0","V110 V692","W091","M002"
"P017","Person with two arms and two legs, standing on a long horizontal stroke","0","0","0","V391","","M043"
"P018","Person with two arms and two legs, standing on a long horizontal stroke, bracketed by tall vertical strokes","0","0","0","V754","",""
"P019","Person with two arms and two legs, small leaf almost like a phallus on right thigh","0","0","0","V148 V786","W137","M040"
"P020","Person with a half-height caret coming off the right foot","1","0","1","V149 V772","W104","M041"
"P021","Person standing on two wagon wheels","0","0","0","V741","W118","M042"
"P022","Person with pitchfork head across waist","1","1","0","V307","W094","M038"
"P023","Person with short stick","1","0","1","V135 V427","W095","M018"
"P024","Person with large animal leg","0","0","0","V449","W121","M037"
"P025","Person holding tree with branches","0","0","0","V388 V237","","M021"
"P026","Person with pitchfork","2","0","0","V138 V763","W130","M019"
"P027","Person with pitchfork, small vertical stroke between feet","0","0","0","V353","W131","M020"
"P028","Person with antenna","0","0","0","V336","W133","M023"
"P029","Person with two antennae","0","0","0","V697","W134","M024"
"P030","Person with short stick, several small vertical strokes coming away from stick","0","0","0","V340 V305","W145",""
"P031","Person with staff","3","0","0","V136 V450","W142","M025"
"P032","Person with staff, caged by four small vertical strokes","1","0","1","V570","W144","M026"
"P033","Person with two staves","0","0","0","V348","W143",""
"P034","Person with bow and arrow, but no bowstring","0","0","0","V137","W146","M027"
"P035","Person with bow and arrow","4","0","1","V139 V390","W125 W126","M028"
"P036","Person with two bows and arrows","0","0","0","V304","W127","M029"
"P037","Person with triangular 'pincer'","1","0","0","V316 V718","W122","M036"
"P038","Person with diamond connected to the right","1","0","1","V366","W119","M030"
"P039","Person with large leaf, dot in leaf","0","0","0","V417","W117","M031"
"P040","Person with U","2","0","0","V140 V096","W110 W111","M032"
"P041","Person with U with vertical stroke inserted, stroke has a small dot at the bottom","1","0","1","V141","W112","M034"
"P042","Person with cat's paw","0","0","0","V142 V780","W113","M035"
"P043","Deer facing to the right (see also P303)","2","0","1","V288","W340 W341 W342 W343 W344 W345 W347 W348","M050"
"P044","Deer facing to the left","1","0","1","V077","W346","M050"
"P045","Cow's leg with horizontal hatching","0","0","0","V328 V269","W280","M084"
"P046","Cow's leg with horizontal hatching, bracketed by angled vertical lines","0","0","0","V408","W281","M085"
"P047","Vertical line with rounded and hatched decoration at the middle, capped by a caret hat","1","0","1","V323 V264","W517 W518","M398"
"P048","Fish with no arms, caret hat, diagonal hatching throughout","1","0","0","V087","W243","M075"
"P049","Fish with no arms and no other decoration","0","0","0","V354","",""
"P050","Fish with no other decoration","32","1","0","V177 V517","W220","M059"
"P051","Fish with four small vertical strokes around the four corners","5","5","0","V513 V321","W226","M060"
"P052","Fish and 'table' with four small vertical strokes around the four corners, 'table' has a small box on top","0","0","0","V546","W944","M061"
"P053","Simple fish inside parentheses, with a small tooth coming off the top right or the right paren","1","0","0","V521","W222","M062"
