occ_id,stanza,pada,token_index,surface,lemma,morphology,arnold_metre_label,arnold_stratum_code,arnold_stratum,stratum_certainty,source_id,retrieval_date
PUR-OCC-001,01.011.04,a,1,purā́m,púr-,case=GEN|gender=F|number=PL,M,N,Normal,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-002,01.033.13,b,4,púraḥ,púr-,case=ACC|gender=F|number=PL,M,n,Normal,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-003,01.051.05,c,6,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-004,01.051.11,d,5,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-005,01.053.07,b,1,purā́,púr-,case=INS|gender=F|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-006,01.053.07,b,2,púram,púr-,case=ACC|gender=F|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-007,01.053.08,c,5,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-008,01.054.06,d,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-009,01.058.08,d,3,pūrbhíḥ,púr-,case=INS|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-010,01.061.05,d,1,purā́m,púr-,case=GEN|gender=F|number=PL,MG,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-011,01.063.02,d,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-012,01.063.07,b,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-013,01.102.07,d,4,puraṃdara,puraṃdará-,case=VOC|gender=M|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-014,01.103.03,b,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-015,01.103.08,b,4,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-016,01.109.08,a,1,púraṃdarā,puraṃdará-,case=VOC|gender=M|number=DU,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-017,01.112.14,c,2,pūrbhídye,pūrbhídya-,case=LOC|gender=N|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-018,01.130.07,a,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,s,Strophic,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-019,01.130.10,b,1,púrām,púr-,case=GEN|gender=F|number=PL,M,s,Strophic,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-020,01.131.04,b,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,s,Strophic,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-021,01.149.03,a,3,púram,púr-,case=ACC|gender=F|number=SG,M,a,Archaic,metrical-variations-only,SRC-022; SRC-023,2026-09-07
