"occ_id","stanza","pada","token_index","surface","lemma","lemma_id","morphology","arnold_stratum_code","arnold_stratum","stratum_certainty","sense","sense_source","source_id","retrieval_date"
"VAR-OCC-001","01.073.07","d","3","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","N","Normal","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-002","01.092.10","b","2","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","n","Normal","metrical-variations-only","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-003","01.096.05","a","2","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","C","Cretic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-004","01.104.02","d","6","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","A","Archaic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-005","01.113.02","d","2","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","C","Cretic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-006","01.179.06","c","2","várṇau","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=DU","P","Popular","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-007","02.001.12","b","3","várṇe","várṇa-","lemma_varRa_7738","case=LOC|gender=M|number=SG","N","Normal","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-008","02.003.05","d","1","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","C","Cretic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-009","02.004.05","b","4","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","A","Archaic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-010","02.005.05","a","3","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","N","Normal","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-011","02.012.04","b","3","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","C","Cretic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-012","02.034.13","d","2","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","N","Normal","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-013","03.034.05","d","3","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","c","Cretic","metrical-variations-only","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-014","03.034.09","d","5","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","c","Cretic","metrical-variations-only","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-015","04.005.13","d","2","várṇena","várṇa-","lemma_varRa_7738","case=INS|gender=M|number=SG","S","Strophic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-016","09.065.08","a","2","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","N","Normal","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
"VAR-OCC-017","09.071.02","b","2","várṇam","várṇa-","lemma_varRa_7738","case=ACC|gender=M|number=SG","S","Strophic","certain","NOT ASSIGNED","no retrieved source assigns a sense per passage","SRC-019; SRC-022; SRC-023; SRC-085","2026-09-07"
