"language","dedr_csv_entries","dedr_new_csv_entries","dedr_csv_only","dedr_new_csv_only","shared","disagreement_pct"
"Tamil","3537","3507","51","21","3486","2.0"
"Malayalam","2546","2730","25","209","2521","8.5"
"Kota","1249","1283","8","42","1241","3.9"
"Toda","1083","1129","5","51","1078","4.9"
"Kannada","2944","2934","140","130","2804","8.8"
"Kodagu","930","974","2","46","928","4.9"
"Tulu","2235","2327","7","99","2228","4.5"
"Telugu","2624","2697","30","103","2594","4.9"
"Kolami","742","677","87","22","655","14.3"
"Naikri","484","499","1","16","483","3.4"
"Parji","849","890","3","44","846","5.3"
"Konda","892","918","7","33","885","4.3"
"Pengo","638","654","5","21","633","3.9"
"Kui","938","960","4","26","934","3.1"
"Kuwi","1103","1063","72","32","1031","9.2"
"Kurux","775","781","12","18","763","3.8"
"Malto","704","716","4","16","700","2.8"
"Manda","428","446","2","20","426","4.9"
"Brahui","269","273","1","5","268","2.2"
"TOTAL (18 mapped languages)","","","465","949","24236","5.5"
"Brahui roots with a Tamil cognate","220 of 269 = 82%","223 of 273 = 82%","","","","site (ArimeKannada lineage) publishes 191 of 262 = 73%"
