metre_label	stratum	padas
M	A	6393
M	C	5375
M	N	5962
M	S	5428
M	a	297
M	c	345
M	n	954
M	s	901
MO	A	546
MO	C	190
MO	N	1902
MO	S	1078
MO	n	168
MO	s	179
P	P	3077
P	n	3
MR	A	398
MR	C	393
MR	N	313
MR	S	435
MR	a	3
MR	c	36
MR	n	40
MR	s	42
D	C	269
D	p	456
MU	A	399
MU	N	31
MU	S	78
MT	A	80
MT	N	29
MT	S	355
MT	c	9
MT	n	15
MT	s	12
MOR	A	85
MOR	C	12
MOR	N	245
MOR	S	103
MOR	n	21
MOR	s	1
PE1	P	399
PE3b	P	372
PE2	P	349
M5	A	10
M5	C	13
M5	N	119
M5	S	115
MV	S	257
PE3a	P	253
MS	A	167
MS	C	2
MS	N	21
MS	S	48
MS	a	3
MS	n	3
MS	s	1
PR	P	136
MSR	A	56
MSR	S	64
MSR	a	3
PE1R	P	111
Mv	S	80
MG	A	63
MUR	A	4
MUR	S	56
DE2	p	50
MOT	C	2
MOT	N	9
MOT	S	29
DR	C	14
DR	p	16
Mh	A	12
Mh	C	7
Mh	N	3
Mh	S	7
DE3a	p	22
MBh	S	21
PO	P	21
MB	S	19
DV	p	18
PU	P	18
MSU	A	12
MSU	S	5
PV	P	17
PE2R	P	15
PE3aR	P	15
M4	A	13
M4	n	1
MVR	S	14
MH	A	10
MH	C	1
MH	N	2
PH	P	12
PSE1R	P	9
ME2	P	8
PE3bR	P	8
MTR	N	1
MTR	S	5
PSE1	P	6
Ph	P	5
DH	C	1
DH	p	3
M4R	A	3
MU4b	A	3
MVT	S	3
PSR	P	3
PT	P	3
PVH	P	3
DE2R	p	2
DE3aR	p	2
DSV	p	2
MOTR	C	1
MOTR	S	1
MSUR	S	2
MUH	A	2
MUh	A	2
M5R	S	1
MGR	A	1
MO4	N	1
MS4	A	1
MS5	N	1
MSH	N	1
MSO	N	1
