book	stanzas	n_A	n_C	n_N	n_P	n_S	pct_A	pct_C	pct_N	pct_P	pct_S
1	2005	343	474	507	188	493	17.1	23.6	25.3	9.4	24.6
2	429	34	53	310	12	20	7.9	12.4	72.3	2.8	4.7
3	617	0	104	375	41	97	0.0	16.9	60.8	6.6	15.7
4	589	0	0	216	33	340	0.0	0.0	36.7	5.6	57.7
5	727	325	198	150	25	29	44.7	27.2	20.6	3.4	4.0
6	765	472	191	57	45	0	61.7	25.0	7.5	5.9	0.0
7	841	0	174	25	81	561	0.0	20.7	3.0	9.6	66.7
8	1716	744	0	75	65	832	43.4	0.0	4.4	3.8	48.5
9	1107	114	25	838	25	105	10.3	2.3	75.7	2.3	9.5
10	1754	214	484	136	842	78	12.2	27.6	7.8	48.0	4.4
