book	stanzas	grassmann_marked	grassmann_pct	oldenberg_marked	oldenberg_pct	arnold_marked	arnold_pct	wuest_marked	wuest_pct	witzel_marked	witzel_pct
1	2006	221	11.0	172	8.6	187	9.3	161	8.0	109	5.4
2	429	19	4.4	14	3.3	26	6.1	14	3.3	9	2.1
3	617	99	16.0	55	8.9	38	6.2	55	8.9	54	8.8
4	589	69	11.7	31	5.3	37	6.3	31	5.3	21	3.6
5	727	75	10.3	59	8.1	37	5.1	60	8.3	40	5.5
6	765	45	5.9	74	9.7	45	5.9	78	10.2	59	7.7
7	841	50	5.9	78	9.3	75	8.9	81	9.6	45	5.4
8	1716	140	8.2	22	1.3	41	2.4	25	1.5	194	11.3
9	1108	18	1.6	33	3.0	25	2.3	33	3.0	48	4.3
10	1754	358	20.4	161	9.2	797	45.4	171	9.7	110	6.3
