scholar_a	scholar_b	a_marked	b_marked	both	either	jaccard	p_b_given_a	p_a_given_b
grassmann	oldenberg	1094	699	357	1436	0.249	0.326	0.511
grassmann	wuest	1094	709	325	1478	0.220	0.297	0.458
grassmann	witzel	1094	689	288	1495	0.193	0.263	0.418
oldenberg	wuest	699	709	641	767	0.836	0.917	0.904
oldenberg	witzel	699	689	454	934	0.486	0.649	0.659
arnold	grassmann	1308	1094	418	1984	0.211	0.320	0.382
arnold	oldenberg	1308	699	416	1591	0.261	0.318	0.595
arnold	wuest	1308	709	411	1606	0.256	0.314	0.580
arnold	witzel	1308	689	331	1666	0.199	0.253	0.480
witzel	wuest	689	709	451	947	0.476	0.655	0.636
