domain	scholar	marked_P	marked_notP	unmarked_P	unmarked_notP	odds_ratio	fisher_p_onesided	pct_P_among_marked	pct_P_among_unmarked
whole corpus	grassmann	444	649	913	8544	6.40	3.2e-136	40.6	9.7
whole corpus	oldenberg	487	212	870	8981	23.71	1.4e-296	69.7	8.8
whole corpus	arnold	1122	171	235	9022	251.90	0	86.8	2.5
whole corpus	wuest	493	216	864	8977	23.71	4.61e-300	69.5	8.8
whole corpus	witzel	389	300	968	8893	11.91	9.94e-181	56.5	9.8
books 1-9	grassmann	251	484	264	7797	15.32	4.25e-144	34.1	3.3
books 1-9	oldenberg	330	208	185	8073	69.23	3.86e-313	61.3	2.2
books 1-9	arnold	389	122	126	8159	206.47	0	76.1	1.5
books 1-9	wuest	331	207	184	8074	70.17	5.56e-315	61.5	2.2
books 1-9	witzel	282	297	233	7984	32.54	3.01e-219	48.7	2.8
book 10 only	grassmann	193	165	649	747	1.35	0.00719	53.9	46.5
book 10 only	oldenberg	157	4	685	908	52.03	6.37e-48	97.5	43.0
book 10 only	arnold	733	49	109	863	118.44	2.52e-301	93.7	11.2
book 10 only	wuest	162	9	680	903	23.90	5.96e-44	94.7	43.0
book 10 only	witzel	107	3	735	909	44.11	7.03e-32	97.3	44.7
family 2-7	grassmann	99	257	138	3474	9.70	6.76e-46	27.8	3.8
family 2-7	oldenberg	167	144	70	3587	59.43	5.04e-148	53.7	1.9
family 2-7	arnold	179	79	58	3652	142.67	8.97e-193	69.4	1.6
family 2-7	wuest	167	152	70	3579	56.17	1.79e-145	52.4	1.9
family 2-7	witzel	132	96	105	3635	47.60	2.22e-116	57.9	2.8
