scholar	book	marked_P	marked_notP	unmarked_P	unmarked_notP	odds_ratio_haldane
grassmann	1	124	97	64	1720	34.1
grassmann	2	3	16	9	401	9.0
grassmann	3	35	64	6	512	43.4
grassmann	4	20	48	13	508	15.9
grassmann	5	3	72	22	630	1.4
grassmann	6	11	34	34	686	6.6
grassmann	7	27	23	54	737	15.8
grassmann	8	21	119	44	1532	6.2
grassmann	9	7	11	18	1071	37.8
grassmann	10	193	165	649	747	1.3
oldenberg	1	133	39	55	1778	108.3
oldenberg	2	11	3	1	414	908.0
oldenberg	3	37	18	4	558	251.6
oldenberg	4	16	15	17	541	32.9
oldenberg	5	12	47	13	655	12.8
oldenberg	6	34	40	11	680	50.4
oldenberg	7	57	21	24	739	80.7
oldenberg	8	9	13	56	1638	20.4
oldenberg	9	21	12	4	1070	409.2
oldenberg	10	157	4	685	908	46.4
arnold	1	158	29	30	1788	315.1
arnold	2	11	15	1	402	199.1
arnold	3	16	22	25	554	15.9
arnold	4	30	7	3	549	638.5
arnold	5	24	13	1	689	834.2
arnold	6	38	7	7	713	488.4
arnold	7	60	15	21	745	135.3
arnold	8	27	14	38	1637	80.7
arnold	9	25	0	0	1082	110415.0
arnold	10	733	49	109	863	116.9
wuest	1	134	27	54	1790	160.7
wuest	2	11	3	1	414	908.0
wuest	3	37	18	4	558	251.6
wuest	4	16	15	17	541	32.9
wuest	5	12	48	13	654	12.5
wuest	6	34	44	11	676	45.6
wuest	7	57	24	24	736	70.6
wuest	8	9	16	56	1635	16.7
wuest	9	21	12	4	1070	409.2
wuest	10	162	9	680	903	22.7
witzel	1	103	6	85	1811	337.4
witzel	2	6	3	6	414	118.4
witzel	3	37	17	4	559	266.4
witzel	4	16	5	17	551	94.5
witzel	5	12	28	13	674	21.9
witzel	6	29	30	16	690	40.5
witzel	7	32	13	49	747	36.4
witzel	8	24	170	41	1481	5.1
witzel	9	23	25	2	1057	389.8
witzel	10	107	3	735	909	38.0
