hymn	in_hellwig_fn6	vedaweb_stanzas_marked	hymn_stanzas	vedaweb_fully_marked
1.23	0	6	24	0
1.50	0	4	13	0
1.70	0	1	11	0
1.91	0	5	23	0
1.93	0	9	12	0
1.104	1	9	9	1
1.120	0	12	12	1
1.125	0	4	7	0
1.126	0	2	7	0
1.139	0	11	11	1
1.162	1	22	22	1
1.163	1	13	13	1
1.164	1	52	52	1
1.179	1	6	6	1
1.191	1	16	16	1
2.32	0	5	8	0
2.41	0	3	21	0
2.42	1	3	3	1
2.43	1	3	3	1
3.28	1	6	6	1
3.29	1	16	16	1
3.38	0	1	10	0
3.52	1	8	8	1
3.53	1	24	24	1
4.15	0	7	10	0
4.48	1	5	5	1
4.57	0	8	8	1
4.58	1	11	11	1
5.27	1	6	6	1
5.28	1	6	6	1
5.40	0	9	9	1
5.51	0	5	15	0
5.61	1	19	19	1
5.78	0	5	9	0
5.87	1	9	9	1
6.15	0	4	19	0
6.16	0	3	48	0
6.28	0	1	8	0
6.47	1	31	31	1
6.48	0	1	22	0
6.52	0	5	17	0
6.60	0	3	15	0
6.68	0	3	11	0
6.74	1	4	4	1
6.75	1	19	19	1
7.17	1	7	7	1
7.33	1	14	14	1
7.55	1	8	8	1
7.59	0	6	12	0
7.66	0	3	19	0
7.89	0	5	5	1
7.103	1	10	10	1
7.104	1	25	25	1
8.47	0	6	18	0
8.101	0	16	16	1
9.67	0	14	32	0
9.112	1	4	4	1
9.113	1	11	11	1
9.114	1	4	4	1
10.19	1	8	8	1
10.20	0	1	10	0
10.24	0	3	6	0
10.52	0	1	6	0
10.59	0	3	10	0
10.60	1	12	12	1
10.85	0	30	47	0
10.87	0	4	25	0
10.97	0	23	23	1
10.103	0	13	13	1
10.109	0	7	7	1
10.119	0	13	13	1
10.121	0	1	10	0
10.124	0	9	9	1
10.128	0	9	9	1
10.142	0	2	8	0
10.159	0	1	6	0
10.162	0	1	6	0
10.163	0	1	6	0
10.173	0	6	6	1
10.174	0	1	5	0
10.187	0	5	5	1
10.190	0	3	3	1
10.191	0	4	4	1
