sutra_id	adhyaya	pada	number	sutra	explicit	by_anuvrtti
12036	1	2	36	विभाषा छन्दसि	1	0
12061	1	2	61	छन्दसि पुनर्वस्वोरेकवचनम्	1	0
12062	1	2	62	विशाखयोश्च	0	1
14009	1	4	9	षष्ठीयुक्तश्छन्दसि वा	1	0
14020	1	4	20	अयस्मयादीनि च्छन्दसि	1	0
14081	1	4	81	छन्दसि परेऽपि	1	0
14082	1	4	82	व्यवहिताश्च	0	1
23003	2	3	3	तृतीया च होश्छन्दसि	1	0
23062	2	3	62	चतुर्थ्यर्थे बहुलं छन्दसि	1	0
23063	2	3	63	यजेश्च करणे	0	1
24028	2	4	28	हेमन्तशिशिरावहोरात्रे च च्छन्दसि	1	0
24039	2	4	39	बहुलं छन्दसि	1	0
24073	2	4	73	बहुलं छन्दसि	1	0
24076	2	4	76	बहुलं छन्दसि	1	0
31042	3	1	42	अभ्युत्सादयांप्रजनयांचिकयांरमयामकः पावयांक्रियाद्विदामक्रन्निति च्छन्दसि	1	0
31050	3	1	50	गुपेश्छन्दसि	1	0
31051	3	1	51	नोनयतिध्वनयत्येलयत्यर्दयतिभ्यः	0	1
31059	3	1	59	कृमृदृरुहिभ्यश्छन्दसि	1	0
31084	3	1	84	छन्दसि शायजपि	1	0
31085	3	1	85	व्यत्ययो बहुलम्	0	1
31086	3	1	86	लिङ्याशिष्यङ्	0	1
31118	3	1	118	प्रत्यपिभ्यां ग्रहेश्छन्दसि	1	0
31123	3	1	123	छन्दसि निष्टर्क्यदेवहूयप्रणीयोन्नीयोच्छिष्यमर्यस्तर्याध्वर्यखन्यखान्यदेवयज्यापृच्छ्यप्रतिषीव्यब्रह्मवाद्यभाव्यस्ताव्योपचाय्यपृडानि	1	0
32027	3	2	27	छन्दसि वनसनरक्षिमथाम्	1	0
32063	3	2	63	छन्दसि सहः	1	0
32064	3	2	64	वहश्च	0	1
32065	3	2	65	कव्यपुरीषपुरीष्येषु ञ्युट्	0	1
32066	3	2	66	हव्येऽनन्तः पादम्	0	1
32067	3	2	67	जनसनखनक्रमगमो विट्	0	1
32073	3	2	73	विजुपे छन्दसि	1	0
32074	3	2	74	आतो मनिन्क्वनिब्वनिपश्च	0	1
32075	3	2	75	अन्येभ्योऽपि दृश्यन्ते	0	1
32076	3	2	76	क्विप् च	0	1
32088	3	2	88	बहुलं छन्दसि	1	0
32105	3	2	105	छन्दसि लिट्	1	0
32106	3	2	106	लिटः कानज्वा	0	1
32107	3	2	107	क्वसुश्च	0	1
32137	3	2	137	णेश्छन्दसि	1	0
32138	3	2	138	भुवश्च	0	1
32170	3	2	170	क्याच्छन्दसि	1	0
32171	3	2	171	आदृगमहनजनः किकिनौ लिट् च	0	1
33129	3	3	129	छन्दसि गत्यर्थेभ्यः	1	0
33130	3	3	130	अन्येभ्योऽपि दृश्यते	0	1
34006	3	4	6	छन्दसि लुङ्लङ्लिटः	1	0
