comparison	syllable_difference	stanzas
restored_minus_transmitted	-11	1
restored_minus_transmitted	-2	3
restored_minus_transmitted	-1	59
restored_minus_transmitted	0	3302
restored_minus_transmitted	1	3704
restored_minus_transmitted	2	2185
restored_minus_transmitted	3	871
restored_minus_transmitted	4	279
restored_minus_transmitted	5	105
restored_minus_transmitted	6	31
restored_minus_transmitted	7	7
restored_minus_transmitted	8	2
restored_minus_transmitted	9	3
separated_minus_restored	-9	1
separated_minus_restored	-8	1
separated_minus_restored	-6	6
separated_minus_restored	-5	35
separated_minus_restored	-4	58
separated_minus_restored	-3	253
separated_minus_restored	-2	977
separated_minus_restored	-1	2729
separated_minus_restored	0	4477
separated_minus_restored	1	1509
separated_minus_restored	2	381
separated_minus_restored	3	89
separated_minus_restored	4	24
separated_minus_restored	5	5
separated_minus_restored	6	4
separated_minus_restored	7	2
separated_minus_restored	11	1
