grouping	value	stanzas	syllables_transmitted	syllables_restored	pct_added_by_restoration
book	1	2006	75833	78358	+3.33
book	2	429	17950	18543	+3.30
book	3	617	23989	24597	+2.53
book	4	589	22559	23352	+3.52
book	5	727	27298	28223	+3.39
book	6	765	29058	30076	+3.50
book	7	841	32993	34086	+3.31
book	8	1716	50748	52588	+3.63
book	9	1108	34082	35068	+2.89
book	10	1754	70154	72303	+3.06
stratum	A	2246	77496	80673	+4.10
stratum	C	1703	70788	72865	+2.93
stratum	N	2689	97109	100022	+3.00
stratum	P	1357	52779	54183	+2.66
stratum	S	2555	86428	89383	+3.42
stratum		2	64	68	+6.25
