stanza	class	padapatha_cell	padapatha_syllables	samhita_syllables	delta
01.034.06	defective	iti	2	46	-44
01.105.07	defective	iti	2	37	-35
01.105.08	defective	iti	2	41	-39
09.097.35	defective	N/A	0	44	-44
01.063.03	divergent-but-intact	vr̥jane | pr̥kṣe | āṇau | yūne | kutsāya | dyumate | sacā | 	19	38	-19
01.084.03	divergent-but-intact	iti | arvācīnam | su | te | manaḥ | grāvā | kr̥ṇotu | vagnun	18	32	-14
01.095.05	divergent-but-intact	iti | tvaṣṭuḥ | bibhyatuḥ | jāyamānāt | pratīcī iti | siṁham	26	43	-17
01.110.08	divergent-but-intact	iti | yuvānā | pitarā | akr̥ṇotana	13	47	-34
01.112.18	divergent-but-intact	iti | su | ūti-bhiḥ | aśvinā | ā | gatam	12	47	-35
01.113.02	divergent-but-intact	ruśat-vatsā | ruśatī | śvetyā | ā | agāt | araik | oṁ iti | 	63	42	21
01.113.03	divergent-but-intact	samānaḥ | adhvā | svasroḥ | anantaḥ | tam | anyāanyā | carat	62	43	19
01.130.07	divergent-but-intact	iti | vajreṇa | dāśuṣe | nr̥to iti | atithi-gvāya | śambaram	49	67	-18
01.144.06	divergent-but-intact	iti | br̥hatī iti | abhi-śriyā | hiraṇyayī iti | vakvarī iti	29	45	-16
01.146.03	divergent-but-intact	samānam | vatsam | abhi | sañcarantī itisam-carantī | viṣvak	61	44	17
01.160.01	divergent-but-intact	te iti | hi | dyāvāpr̥thivī iti | viśva-śambhuvā | r̥ta-varī	73	47	26
01.164.48	divergent-but-intact	iti | tat | ciketa | tasmin | sākam | tri-śatāḥ | na | śaṅka	28	42	-14
01.185.06	divergent-but-intact	urvī iti | sadmanī iti | br̥hatī iti | r̥tena | huve | devān	60	44	16
01.185.07	divergent-but-intact	urvī iti | pr̥thvī iti | bahuleiti | dūreanteitidūre--ante |	72	44	28
01.191.02	divergent-but-intact	iti | ava-ghnatī | hanti | atho iti | pinaṣṭi | piṁṣatī	18	29	-11
02.003.06	divergent-but-intact	sādhu | apāṁsi | sanatā | naḥ | ukṣite iti | uṣasānaktā | va	69	45	24
02.012.08	divergent-but-intact	yam | krandasī iti | saṁyatī itisam-yatī | vihvayeteitivi-hv	59	43	16
02.039.02	divergent-but-intact	prātaḥ-yāvānā | rathyāiva | vīrā | ajāiva | yamā | varam | ā	60	42	18
02.039.04	divergent-but-intact	nāvāiva | naḥ | pārayatam | yugāiva | nabhyāiva | naḥ | upad	60	44	16
02.043.03	divergent-but-intact	āvadan | tvam | sakune | bhadram | ā | vada | tūṣṇīm | āsīna	41	47	-6
03.006.04	divergent-but-intact	mahān | sadha-sthe | dhruvaḥ | ā | ni-sattaḥ | antaḥ | dyāvā	65	43	22
03.006.10	divergent-but-intact	saḥ | hotā | yasya | rodasī iti | cit | urvī iti | yajñam-ya	64	45	19
03.033.01	divergent-but-intact	pra | parvatānām | uśatī iti | upa-sthāt | aśveivetyaśve--iv	64	44	20
03.033.02	divergent-but-intact	indreṣiteitīndra-iṣite | pra-savam | bhikṣamāṇeiti | accha |	62	42	20
03.054.07	divergent-but-intact	samānyā | viyuteitivi-yute | dūreanteitidūre--ante | dhruve 	62	43	19
03.055.12	divergent-but-intact	mātā | ca | yatra | duhitā | ca | dhenū iti | sabardugheitis	60	43	17
