"book","padas","n_A","n_S","n_N","n_C","n_P","pct_A","pct_S","pct_N","pct_C","pct_P","pct_late_CP"
"1","7746","1459","1820","1837","1887","743","18.84","23.5","23.72","24.36","9.59","33.95"
"2","1694","150","80","1203","212","49","8.85","4.72","71.02","12.51","2.89","15.41"
"3","2357","0","292","1494","415","156","0.0","12.39","63.39","17.61","6.62","24.23"
"4","2247","0","1271","845","0","131","0.0","56.56","37.61","0.0","5.83","5.83"
"5","2860","1281","114","577","788","100","44.79","3.99","20.17","27.55","3.5","31.05"
"6","2919","1805","0","229","704","181","61.84","0.0","7.85","24.12","6.2","30.32"
"7","3190","0","2093","100","670","327","0.0","65.61","3.13","21.0","10.25","31.25"
"8","6064","2555","2981","261","0","267","42.13","49.16","4.3","0.0","4.4","4.4"
"9","3760","429","356","2756","100","119","11.41","9.47","73.3","2.66","3.16","5.82"
"10","6996","887","333","544","1894","3338","12.68","4.76","7.78","27.07","47.71","74.79"
"ALL","39833","8566","9340","9846","6670","5411","21.5","23.45","24.72","16.74","13.58","30.33"
