"metre_label","padas","modal_stratum","n_modal","pct_modal","distinct_strata_under_label"
"M","25655","N","6916","26.96","4"
"MO","4063","N","2070","50.95","4"
"P","3080","P","3077","99.9","2"
"MR","1660","S","477","28.73","4"
"D","725","P","456","62.9","2"
"MU","508","A","399","78.54","3"
"MT","500","S","367","73.4","4"
"MOR","467","N","266","56.96","4"
"PE1","399","P","399","100.0","1"
"PE3b","372","P","372","100.0","1"
"PE2","349","P","349","100.0","1"
"M5","257","N","119","46.3","4"
"MV","257","S","257","100.0","1"
"PE3a","253","P","253","100.0","1"
"MS","245","A","170","69.39","4"
"PR","136","P","136","100.0","1"
"MSR","123","S","64","52.03","2"
"PE1R","111","P","111","100.0","1"
"Mv","80","S","80","100.0","1"
"MG","63","A","63","100.0","1"
"MUR","60","S","56","93.33","2"
"DE2","50","P","50","100.0","1"
"MOT","40","S","29","72.5","3"
"DR","30","P","16","53.33","2"
"Mh","29","A","12","41.38","4"
"DE3a","22","P","22","100.0","1"
"PO","21","P","21","100.0","1"
"MBh","21","S","21","100.0","1"
"MB","19","S","19","100.0","1"
"PU","18","P","18","100.0","1"
"DV","18","P","18","100.0","1"
"MSU","17","A","12","70.59","2"
"PV","17","P","17","100.0","1"
"PE2R","15","P","15","100.0","1"
"PE3aR","15","P","15","100.0","1"
"M4","14","A","13","92.86","2"
"MVR","14","S","14","100.0","1"
"MH","13","A","10","76.92","3"
"PH","12","P","12","100.0","1"
"PSE1R","9","P","9","100.0","1"
"ME2","8","P","8","100.0","1"
"PE3bR","8","P","8","100.0","1"
"PSE1","6","P","6","100.0","1"
"MTR","6","S","5","83.33","2"
"Ph","5","P","5","100.0","1"
"DH","4","P","3","75.0","2"
"PSR","3","P","3","100.0","1"
"MU4b","3","A","3","100.0","1"
"M4R","3","A","3","100.0","1"
"MVT","3","S","3","100.0","1"
"PVH","3","P","3","100.0","1"
"PT","3","P","3","100.0","1"
"MUH","2","A","2","100.0","1"
"DE2R","2","P","2","100.0","1"
"MOTR","2","C","1","50.0","2"
"MSUR","2","S","2","100.0","1"
"DSV","2","P","2","100.0","1"
"MUh","2","A","2","100.0","1"
"DE3aR","2","P","2","100.0","1"
"MGR","1","A","1","100.0","1"
"MS5","1","N","1","100.0","1"
"MSH","1","N","1","100.0","1"
"M5R","1","S","1","100.0","1"
"MS4","1","A","1","100.0","1"
"MSO","1","N","1","100.0","1"
"MO4","1","N","1","100.0","1"
"ALL_METRE_LABELS","39833","modal-stratum accuracy","16873","42.36","66"
