"book","padas","modal_stratum","pct_modal","entropy_bits","entropy_normalised_5","strata_present"
"1","7746","C","24.36","2.258","0.972","5"
"2","1694","N","71.02","1.391","0.599","5"
"3","2357","N","63.39","1.491","0.642","4"
"4","2247","S","56.56","1.235","0.532","3"
"5","2860","A","44.79","1.852","0.798","5"
"6","2919","A","61.84","1.46","0.629","4"
"7","3190","S","65.61","1.365","0.588","4"
"8","6064","S","49.16","1.423","0.613","4"
"9","3760","N","73.3","1.305","0.562","5"
"10","6996","P","47.71","1.893","0.815","5"
