"book","quartile","first_hymn","last_hymn","padas","pct_A","pct_S","pct_N","pct_C","pct_P","pct_late_CP"
"1","1","1","47","1900","8.0","41.58","28.53","17.74","4.16","21.89"
"1","2","48","94","1792","18.53","13.11","47.15","16.69","4.52","21.21"
"1","3","95","141","2250","20.27","11.82","20.0","45.24","2.67","47.91"
"1","4","142","191","1804","28.77","29.32","0.0","12.92","28.99","41.91"
"2","1","1","10","337","10.68","0.0","75.07","13.06","1.19","14.24"
"2","2","11","20","464","15.52","17.24","43.1","24.14","0.0","24.14"
"2","3","21","30","414","7.25","0.0","92.75","0.0","0.0","0.0"
"2","4","31","43","479","2.51","0.0","76.41","11.69","9.39","21.09"
"3","1","1","15","625","0.0","8.64","81.76","8.32","1.28","9.6"
"3","2","16","30","448","0.0","13.62","63.17","4.46","18.75","23.21"
"3","3","31","45","603","0.0","18.41","52.4","27.86","1.33","29.19"
"3","4","46","62","681","0.0","9.69","56.39","25.7","8.22","33.92"
"4","1","1","14","607","0.0","85.5","13.84","0.0","0.66","0.66"
"4","2","15","28","612","0.0","79.08","11.11","0.0","9.8","9.8"
"4","3","29","42","571","0.0","36.95","62.35","0.0","0.7","0.7"
"4","4","43","58","457","0.0","12.47","73.74","0.0","13.79","13.79"
"5","1","1","21","620","42.9","7.9","36.77","12.42","0.0","12.42"
"5","2","22","42","746","40.75","0.0","46.78","9.25","3.22","12.47"
"5","3","43","63","860","37.56","7.56","0.0","53.02","1.86","54.88"
"5","4","64","87","634","61.2","0.0","0.0","29.34","9.46","38.8"
"6","1","1","18","769","65.67","0.0","7.8","24.97","1.56","26.53"
"6","2","19","36","573","69.11","0.0","19.72","5.58","5.58","11.17"
"6","3","37","54","898","74.72","0.0","6.24","14.14","4.9","19.04"
"6","4","55","75","679","34.32","0.0","0.0","51.99","13.7","65.68"
"7","1","1","26","877","0.0","69.33","1.82","28.85","0.0","28.85"
"7","2","27","52","765","0.0","62.75","0.0","17.78","19.48","37.25"
"7","3","53","78","781","0.0","76.18","10.76","8.19","4.87","13.06"
"7","4","79","104","767","0.0","53.46","0.0","28.29","18.25","46.54"
"8","1","1","25","2141","45.91","53.53","0.0","0.0","0.56","0.56"
"8","2","26","50","1628","24.51","52.76","16.03","0.0","6.7","6.7"
"8","3","51","75","1131","67.02","29.09","0.0","0.0","3.89","3.89"
"8","4","76","103","1164","35.65","55.58","0.0","0.0","8.76","8.76"
"9","1","1","28","688","0.0","0.0","97.67","0.0","2.33","2.33"
"9","2","29","56","462","0.0","0.0","100.0","0.0","0.0","0.0"
"9","3","57","84","1149","0.0","12.45","85.12","1.74","0.7","2.44"
"9","4","85","114","1461","29.36","14.58","44.08","5.48","6.5","11.98"
"10","1","1","47","1984","14.42","6.05","7.86","37.15","34.53","71.67"
"10","2","48","94","2354","14.95","2.72","11.05","25.96","45.33","71.28"
"10","3","95","141","1808","10.18","5.97","4.87","26.71","52.27","78.98"
"10","4","142","191","850","7.65","4.82","4.71","7.41","75.41","82.82"
