"scholar_a","scholar_b","n_a","n_b","n_both","jaccard","pct_of_a_also_b","pct_of_b_also_a"
"grassmann","oldenberg","1094","699","357","0.2486","32.63","51.07"
"grassmann","arnold","1094","1308","418","0.2107","38.21","31.96"
"grassmann","wuest","1094","709","325","0.2199","29.71","45.84"
"grassmann","witzel","1094","689","288","0.1926","26.33","41.8"
"oldenberg","arnold","699","1308","416","0.2615","59.51","31.8"
"oldenberg","wuest","699","709","641","0.8357","91.7","90.41"
"oldenberg","witzel","699","689","454","0.4861","64.95","65.89"
"arnold","wuest","1308","709","411","0.2559","31.42","57.97"
"arnold","witzel","1308","689","331","0.1987","25.31","48.04"
"wuest","witzel","709","689","451","0.4762","63.61","65.46"
