"book","stanzas","pct_flagged_grassmann","pct_flagged_oldenberg","pct_flagged_arnold","pct_flagged_wuest","pct_flagged_witzel","pct_flagged_ANY"
"1","2006","11.02","8.57","9.32","8.03","5.43","16.0"
"2","429","4.43","3.26","6.06","3.26","2.1","12.35"
"3","617","16.05","8.91","6.16","8.91","8.75","21.07"
"4","589","11.54","5.26","6.28","5.26","3.57","14.94"
"5","727","10.32","8.12","5.09","8.25","5.5","16.23"
"6","765","5.88","9.67","5.88","10.2","7.71","13.99"
"7","841","5.95","9.27","8.92","9.63","5.35","14.39"
"8","1716","8.16","1.28","2.39","1.46","11.31","19.81"
"9","1108","1.62","2.98","2.26","2.98","4.33","6.32"
"10","1754","20.41","9.18","44.58","9.75","6.27","57.47"
