"column","scope","stanzas_in_scope","flagged_in_scope","pct_flagged_late_CP","scope_base_pct_late_CP","enrichment_ratio"
"grassmann","all_books","10552","1093","52.97","29.0","1.827"
"grassmann","books_1_to_9_only","8798","735","46.12","19.71","2.34"
"grassmann","book_10_only","1754","358","67.04","75.6","0.887"
"oldenberg","all_books","10552","699","76.11","29.0","2.624"
"oldenberg","books_1_to_9_only","8798","538","69.7","19.71","3.536"
"oldenberg","book_10_only","1754","161","97.52","75.6","1.29"
"arnold","all_books","10552","1293","94.12","29.0","3.246"
"arnold","books_1_to_9_only","8798","511","90.41","19.71","4.587"
"arnold","book_10_only","1754","782","96.55","75.6","1.277"
"wuest","all_books","10552","709","76.73","29.0","2.646"
"wuest","books_1_to_9_only","8798","538","70.07","19.71","3.555"
"wuest","book_10_only","1754","171","97.66","75.6","1.292"
"witzel","all_books","10552","689","61.39","29.0","2.117"
"witzel","books_1_to_9_only","8798","579","54.58","19.71","2.769"
"witzel","book_10_only","1754","110","97.27","75.6","1.287"
"ANY","all_books","10552","2356","64.05","29.0","2.209"
"ANY","books_1_to_9_only","8798","1348","48.15","19.71","2.443"
"ANY","book_10_only","1754","1008","85.32","75.6","1.129"
