"book","stratum_A","stratum_S","stratum_N","stratum_C","stratum_P","n_strata_present"
"1","PRESENT","PRESENT","PRESENT","PRESENT","PRESENT","5"
"2","PRESENT","PRESENT","PRESENT","PRESENT","PRESENT","5"
"3","ABSENT","PRESENT","PRESENT","PRESENT","PRESENT","4"
"4","ABSENT","PRESENT","PRESENT","ABSENT","PRESENT","3"
"5","PRESENT","PRESENT","PRESENT","PRESENT","PRESENT","5"
"6","PRESENT","ABSENT","PRESENT","PRESENT","PRESENT","4"
"7","ABSENT","PRESENT","PRESENT","PRESENT","PRESENT","4"
"8","PRESENT","PRESENT","PRESENT","ABSENT","PRESENT","4"
"9","PRESENT","PRESENT","PRESENT","PRESENT","PRESENT","5"
"10","PRESENT","PRESENT","PRESENT","PRESENT","PRESENT","5"
"ALL","PRESENT","PRESENT","PRESENT","PRESENT","PRESENT"
