"site_label","jambu_label","site_entries","jambu_entries","site_only","jambu_only","shared","disagreement_pct"
"Tamil","Tam","3226","3507","25","306","3201","9.4"
"Malayalam","Mal","2444","2730","28","314","2416","12.4"
"Kota","Kota","1188","1283","10","105","1178","8.9"
"Toda","Toda","1014","1129","14","129","1000","12.5"
"Kannaḍa","Kannada","2791","2934","131","274","2660","13.2"
"Koḍagu","Kodagu","898","974","13","89","885","10.3"
"Tulu","Tulu","2158","2327","27","196","2131","9.5"
"Telugu","Telugu","2526","2697","30","201","2496","8.5"
"Kolami","Kolami","695","677","84","66","611","19.7"
"Naikṛi","Naikri","459","499","2","42","457","8.8"
"Parji","Parji","822","890","8","76","814","9.4"
"Konḍa","Konda","865","918","13","66","852","8.5"
"Pengo","Pengo","618","654","8","44","610","7.9"
"Kui","Kui","919","960","10","51","909","6.3"
"Kuwi","Kuwi","1081","1063","80","62","1001","12.4"
"Kuṛux","Kurux","751","781","11","41","740","6.6"
"Malto","Malto","693","716","14","37","679","7.0"
"Manḍa","Manda","410","446","4","40","406","9.8"
"Brahui","Brah","262","273","6","17","256","8.2"
"TOTAL (18 mapped languages)","","","","512","2139","23046","10.3"
"Brahui roots with a Tamil cognate","site data","191","73%","jambu data","223","82%","site publishes 191 of 262 = 73%"
